 realme 3 pro	 6.3" Screen	 Dual Camera	 6GB RAM	 4045mAh Battery
 lg	 6.26" Screen	 Triple Camera	 3GB RAM	 4000mAh Battery
 realme u1	 6.3" Screen	 Dual Camera	 3GB RAM	 3500mAh Battery
 redmi note 5 pro	 5.99" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 realme 3	 6.2" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 motorola one power	 6.2" Screen	 Dual Camera	 4GB RAM	 5000mAh Battery
 asus zenfone max pro m1	 5.99" Screen	 Dual Camera	 4GB RAM	 5000mAh Battery
 realme x pro	 6.5" Screen	 Quad Camera	 6GB RAM	 4000mAh Battery
 vivo y91	 6.22" Screen	 Dual Camera	 2GB RAM	 4030mAh Battery
 asus zenfone max pro	 5.99" Screen	 Dual Camera	 3GB RAM	 5000mAh Battery
 samsung galaxy m10	 6.22" Screen	 Dual Camera	 2GB RAM	 3400mAh Battery
 honor 9n	 5.84" Screen	 Dual Camera	 4GB RAM	 3000mAh Battery
 redmi 8 pro	 6.21" Screen	 Dual Camera	 6GB RAM	 3000mAh Battery
 motorola one vision	 6.3" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 redmi 6 pro	 5.84" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 apple iphone xr	 6.1" Screen	 12 MP Camera	 3GB RAM	 2942mAh Battery
 samsung galaxy a7	 6.0" Screen	 Triple Camera	 4GB RAM	 3300mAh Battery
 nokia 6.1 plus	 5.8" Screen	 Dual Camera	 4GB RAM	 3060mAh Battery
 realme c1	 6.2" Screen	 Dual Camera	 2GB RAM	 4230mAh Battery
 samsung galaxy m30	 6.4" Screen	 Triple Camera	 6GB RAM	 5000mAh Battery
 infinix smart 3 plus	 6.21" Screen	 Dual Camera	 2GB RAM	 3500mAh Battery
 samsung galaxy note 10	 6.3" Screen	 Triple Camera	 8GB RAM	 3500mAh Battery
 apple iphone 7 plus	 5.5" Screen	 Dual Camera	 3GB RAM	 2900mAh Battery
 infinix s4	 6.21" Screen	 Triple Camera	 3GB RAM	 4000mAh Battery
 redmi go	 5.0" Screen	 8 MP Camera	 1GB RAM	 3000mAh Battery
 redmi note 7	 6.3" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 oppo a7	 6.2" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 honor 20 lite	 6.21" Screen	 Triple Camera	 4GB RAM	 3400mAh Battery
 huawei prime	 6.59" Screen	 Triple Camera	 4GB RAM	 4000mAh Battery
 nokia 5.1 plus	 5.86" Screen	 Dual Camera	 3GB RAM	 3060mAh Battery
 asus zenfone max m1	 5.45" Screen	 13 MP Camera	 3GB RAM	 4000mAh Battery
 vivo	 6.39" Screen	 Quad Camera	 6GB RAM	 4000mAh Battery
 asus zenfone 6z	 6.4" Screen	 Dual Camera	 6GB RAM	 5000mAh Battery
 vivo u1	 6.2" Screen	 Dual Camera	 3GB RAM	 4030mAh Battery
 huawei p30 pro	 6.47" Screen	 Triple Camera	 8GB RAM	 4200mAh Battery
 nokia 6	 5.5" Screen	 16 MP Camera	 3GB RAM	 3000mAh Battery
 vivo y91i	 6.22" Screen	 13 MP Camera	 2GB RAM	 4030mAh Battery
 samsung galaxy s10	 6.1" Screen	 Triple Camera	 8GB RAM	 3400mAh Battery
 oppo f9 pro	 6.3" Screen	 Dual Camera	 6GB RAM	 3500mAh Battery
 oppo a3s	 6.2" Screen	 Dual Camera	 2GB RAM	 4230mAh Battery
 vivo y81	 6.22" Screen	 13 MP Camera	 3GB RAM	 3260mAh Battery
 redmi s2	 5.99" Screen	 Dual Camera	 3GB RAM	 3080mAh Battery
 vivo y91	 6.22" Screen	 Dual Camera	 3GB RAM	 4030mAh Battery
 samsung galaxy note 10 plus	 6.8" Screen	 Triple Camera	 12GB RAM	 4300mAh Battery
 vivo	 6.53" Screen	 Triple Camera	 4GB RAM	 5000mAh Battery
 oppo a5s	 6.2" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 vivo	 6.22" Screen	 Dual Camera	 4GB RAM	 4030mAh Battery
 vivo y93	 6.22" Screen	 Dual Camera	 4GB RAM	 4030mAh Battery
 samsung guru music 2	 2.0" Screen	 800mAh Battery
 realme c1	 6.2" Screen	 Dual Camera	 2GB RAM	 4230mAh Battery
 samsung galaxy	 6.3" Screen	 Triple Camera	 6GB RAM	 3500mAh Battery
 samsung galaxy a2 core	 5.0" Screen	 5 MP Camera	 1GB RAM	 2600mAh Battery
 honor 9 lite	 5.65" Screen	 Dual Camera	 3GB RAM	 3000mAh Battery
 vivo v9	 6.3" Screen	 Dual Camera	 4GB RAM	 3260mAh Battery
 oneplus 6t	 6.41" Screen	 Dual Camera	 8GB RAM	 3700mAh Battery
 asus zenfone max pro m1	 5.99" Screen	 Dual Camera	 6GB RAM	 5000mAh Battery
 samsung galaxy j6	 5.6" Screen	 13 MP Camera	 3GB RAM	 3000mAh Battery
 infinix hot 7 pro	 6.19" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 poco	 6.3" Screen	 Triple Camera	 6GB RAM	 4100mAh Battery
 oppo	 6.1" Screen	 8 MP Camera	 2GB RAM	 4000mAh Battery
 honor 9n	 5.84" Screen	 Dual Camera	 3GB RAM	 3000mAh Battery
 redmi note 5 pro	 5.99" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 lg	 6.19" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 redmi	 6.39" Screen	 Triple Camera	 6GB RAM	 4030mAh Battery
 redmi note 5	 5.99" Screen	 12 MP Camera	 3GB RAM	 4000mAh Battery
 nokia 8.1	 6.18" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 realme 2	 6.2" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 poco f1	 6.18" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 asus zenfone 6	 6.4" Screen	 Triple Camera	 4GB RAM	 3300mAh Battery
 honor pro	 6.59" Screen	 Triple Camera	 8GB RAM	 4000mAh Battery
 asus zenfone max m2	 6.26" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 honor 8x	 6.5" Screen	 Dual Camera	 4GB RAM	 3750mAh Battery
 samsung galaxy j7 prime	 5.5" Screen	 13 MP Camera	 3GB RAM	 3300mAh Battery
 honor 10 lite	 6.21" Screen	 Dual Camera	 4GB RAM	 3400mAh Battery
 redmi y2	 5.99" Screen	 Dual Camera	 4GB RAM	 3080mAh Battery
 samsung	 1.5" Screen	 800mAh Battery
 samsung galaxy	 6.0" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 apple iphone xs max	 6.5" Screen	 Dual Camera	 4GB RAM	 3174mAh Battery
 redmi note 4	 5.5" Screen	 13 MP Camera	 4GB RAM	 4100mAh Battery
 oppo a9	 6.53" Screen	 Dual Camera	 4GB RAM	 4020mAh Battery
 apple iphone 7 plus	 5.5" Screen	 Dual Camera	 3GB RAM	 2900mAh Battery
 redmi y3	 6.26" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 apple iphone 7 plus	 5.5" Screen	 Dual Camera	 3GB RAM	 2900mAh Battery
 redmi 7	 6.26" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 poco f1 edition	 6.18" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 vivo y93	 6.22" Screen	 Dual Camera	 3GB RAM	 4030mAh Battery
 oppo f9	 6.3" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
	 2.4" Screen	 2 MP Camera	 512MB RAM	 2000mAh Battery
 oppo k3	 6.5" Screen	 Dual Camera	 8GB RAM	 3765mAh Battery
 vivo v11	 6.3" Screen	 Dual Camera	 6GB RAM	 3315mAh Battery
 motorola e5 plus	 6.0" Screen	 12 MP Camera	 3GB RAM	 5000mAh Battery
 honor play	 6.3" Screen	 Dual Camera	 4GB RAM	 3750mAh Battery
 redmi 6 pro	 5.84" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 samsung galaxy a90	 6.7" Screen	 Triple Camera	 6GB RAM	 3700mAh Battery
 samsung galaxy note 8	 6.3" Screen	 Dual Camera	 6GB RAM	 3300mAh Battery
 nokia	 5.71" Screen	 Dual Camera	 3GB RAM	 3000mAh Battery
 infinix smart 2	 5.45" Screen	 13 MP Camera	 2GB RAM	 3050mAh Battery
 vivo v15 pro	 6.39" Screen	 Triple Camera	 8GB RAM	 3700mAh Battery
 oneplus 7 pro	 6.67" Screen	 Triple Camera	 12GB RAM	 4000mAh Battery
 apple iphone xs	 5.8" Screen	 Dual Camera	 4GB RAM	 2658mAh Battery
 realme u1	 6.3" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 samsung galaxy	 6.5" Screen	 Dual Camera	 6GB RAM	 5000mAh Battery
 oneplus 7	 6.41" Screen	 Dual Camera	 8GB RAM	 3700mAh Battery
 nubia magic 3	 6.65" Screen	 48 MP Camera	 8GB RAM	 5000mAh Battery
 realme 4	 6.3" Screen	 Dual Camera	 4GB RAM	 4400mAh Battery
 samsung galaxy note 9	 6.4" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 nokia	 5.5" Screen	 8 MP Camera	 1GB RAM	 4000mAh Battery
 asus zenfone max pro m2	 6.26" Screen	 Dual Camera	 3GB RAM	 5000mAh Battery
 oppo a5s	 6.2" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 vivo	 6.22" Screen	 8 MP Camera	 2GB RAM	 4030mAh Battery
 honor 8c	 6.26" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 oppo f7	 6.23" Screen	 16 MP Camera	 4GB RAM	 3400mAh Battery
 samsung galaxy j4 plus	 6.0" Screen	 13 MP Camera	 2GB RAM	 3300mAh Battery
 samsung galaxy j6	 5.6" Screen	 13 MP Camera	 4GB RAM	 3000mAh Battery
 lava a1	 1.8" Screen	 0.3 MP Camera	 800mAh Battery
 nokia 4g	 2.45" Screen	 2 MP Camera	 512MB RAM	 1500mAh Battery
 honor	 5.9" Screen	 Dual Camera	 4GB RAM	 3340mAh Battery
 redmi a2	 5.99" Screen	 Dual Camera	 6GB RAM	 3010mAh Battery
 samsung galaxy s9 plus	 6.2" Screen	 Dual Camera	 6GB RAM	 3500mAh Battery
 oneplus 6	 6.28" Screen	 Dual Camera	 6GB RAM	 3300mAh Battery
 redmi k20 pro	 6.39" Screen	 Triple Camera	 8GB RAM	 4000mAh Battery
 redmi 5a	 5.0" Screen	 13 MP Camera	 2GB RAM	 3000mAh Battery
 samsung galaxy j6 plus	 6.0" Screen	 Dual Camera	 4GB RAM	 3300mAh Battery
 apple iphone 8 plus	 5.5" Screen	 Dual Camera	 3GB RAM	 2675mAh Battery
 redmi	 6.08" Screen	 Triple Camera	 4GB RAM	 4030mAh Battery
 samsung galaxy j2 core	 5.0" Screen	 8 MP Camera	 1GB RAM	 2600mAh Battery
 oppo a5	 6.2" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 nokia 2.2	 5.71" Screen	 13 MP Camera	 2GB RAM	 3000mAh Battery
 samsung guru plus	 1.5" Screen	 800mAh Battery
 redmi 8	 6.21" Screen	 Dual Camera	 6GB RAM	 3400mAh Battery
 redmi note 6 pro	 6.26" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 nokia dual sim	 2.4" Screen	 0.3 MP Camera	 16MB RAM	 1020mAh Battery
 nokia 6.1 plus	 5.8" Screen	 Dual Camera	 6GB RAM	 3060mAh Battery
 vivo v7 plus	 5.99" Screen	 16 MP Camera	 4GB RAM	 3225mAh Battery
 huawei p30 lite	 6.15" Screen	 Triple Camera	 4GB RAM	 3340mAh Battery
 vivo y91i	 6.22" Screen	 13 MP Camera	 2GB RAM	 4030mAh Battery
 nokia 105	 1.8" Screen	 800mAh Battery
 oppo a3s	 6.2" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 samsung galaxy a8 star	 6.3" Screen	 Dual Camera	 6GB RAM	 3700mAh Battery
 micromax bharat 5 infinity edition	 5.45" Screen	 5 MP Camera	 1GB RAM	 5000mAh Battery
 samsung galaxy	 6.4" Screen	 Triple Camera	 4GB RAM	 4000mAh Battery
